Secretaria_de_Atencao_Primaria_a_Saude_-_SAPS/MS_,Unnamed:_1,Unnamed:_2,Unnamed:_3,Unnamed:_4,Unnamed:_5,Unnamed:_6,Unnamed:_7,Unnamed:_8,Unnamed:_9
2,21,122,759,16449,1,862,3,0,1328
1,1,1589,2042,1206,1,10472,6,0,640
1,1,1568,1103,20064,1,10327,3,0,540
2,13,149,422,5706,1,1128,3,0,787
2,26,361,2660,8624,1,2247,3,0,1198
1,19,1030,716,22879,1,24653,3,0,539
4,18,2823,2375,152,1,16461,3,0,1295
0,8,4053,635,6917,1,21201,3,0,1092
4,25,3174,3159,2143,1,18020,3,0,608
4,18,2823,2375,23712,1,25484,3,0,1574
1,4,1728,190,14432,1,11251,3,0,1459
2,20,3,602,24834,1,25260,3,0,629
2,20,15,2889,9305,1,97,3,0,581
1,15,1404,802,22422,1,23199,3,0,373
0,6,4217,524,99,1,26080,3,0,1149
2,2,92,2081,591,1,28750,3,0,327
1,14,1226,1115,14217,1,7716,3,0,1037
0,11,3894,2882,6755,1,29188,3,0,996
4,25,2993,1559,24326,1,26453,3,0,618
4,10,2257,967,23297,1,25067,3,0,565
0,11,3855,684,14468,1,26181,3,0,618
1,9,535,2698,8376,1,3201,3,0,1171
4,25,2908,850,19398,1,16959,3,0,600
1,15,1491,2986,4,1,31498,3,0,1092
0,11,3887,2390,22209,1,28823,3,0,878
4,25,3129,2841,2258,1,17872,3,0,901
2,13,203,2426,11289,0,1531,3,0,1021
1,4,2037,3466,20800,1,12915,3,0,607
1,1,1566,1010,1094,1,10302,3,0,970
2,13,149,422,17927,1,1147,3,0,593
2,26,289,219,8654,1,2066,3,0,955
5,17,3323,2009,10505,1,18785,3,0,1002
5,23,3495,2888,23149,1,27457,3,0,572
4,25,2955,1192,14998,0,17327,3,0,1448
0,8,4163,2796,19541,1,21536,3,0,535
0,11,3849,408,12454,1,20157,3,0,337
1,1,1546,291,17545,1,32303,3,0,1362
0,12,4008,3970,14416,1,20995,3,0,589
